Benchmarks of simstr, version 1.6.7
Sources: https://github.com/orefkov/simstr
Results: https://orefkov.github.io/simstr/results.html

2026-02-12T15:14:20+03:00
Running ./benchStr
Run on (32 X 2494.22 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
Load Average: 0.00, 0.00, 0.00
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
--------------------------------------------------------------------------------------------------------------------------------------------------------
-----  Concatenate string + Number + "Literal" ---------/repeats:1                                                 0.000 ns        0.000 ns   1000000000000
Concat std::string and number by std to std::string_mean                                                             211 ns          211 ns            4
Concat std::string and number by std to std::string_median                                                           211 ns          211 ns            4
Concat std::string and number by std to std::string_stddev                                                          2.33 ns         2.33 ns            4
Concat std::string and number by std to std::string_cv                                                              1.10 %          1.10 %             4
Concat std::string and number by StrExpr to std::string_mean                                                         102 ns          102 ns            4
Concat std::string and number by StrExpr to std::string_median                                                       102 ns          102 ns            4
Concat std::string and number by StrExpr to std::string_stddev                                                      1.47 ns         1.47 ns            4
Concat std::string and number by StrExpr to std::string_cv                                                          1.44 %          1.44 %             4
Concat stringa and number by StrExpr to simstr::stringa_mean                                                        63.1 ns         63.1 ns            4
Concat stringa and number by StrExpr to simstr::stringa_median                                                      63.1 ns         63.1 ns            4
Concat stringa and number by StrExpr to simstr::stringa_stddev                                                      1.98 ns         1.98 ns            4
Concat stringa and number by StrExpr to simstr::stringa_cv                                                          3.14 %          3.14 %             4
Concat stringa and number by e_concat to simstr::stringa_mean                                                       69.5 ns         69.5 ns            4
Concat stringa and number by e_concat to simstr::stringa_median                                                     69.5 ns         69.5 ns            4
Concat stringa and number by e_concat to simstr::stringa_stddev                                                     1.68 ns         1.68 ns            4
Concat stringa and number by e_concat to simstr::stringa_cv                                                         2.42 %          2.42 %             4
-----  Concatenate string + Hex Number + "Literal" ---------/repeats:1                                             0.000 ns        0.000 ns   1000000000000
Concat std::string and format hex number and literal to std::string_mean                                             680 ns          680 ns            4
Concat std::string and format hex number and literal to std::string_median                                           666 ns          666 ns            4
Concat std::string and format hex number and literal to std::string_stddev                                          34.3 ns         34.3 ns            4
Concat std::string and format hex number and literal to std::string_cv                                              5.04 %          5.04 %             4
std::format std::string and hex number by literal to std::string_mean                                                865 ns          865 ns            4
std::format std::string and hex number by literal to std::string_median                                              844 ns          844 ns            4
std::format std::string and hex number by literal to std::string_stddev                                             57.6 ns         57.6 ns            4
std::format std::string and hex number by literal to std::string_cv                                                 6.66 %          6.66 %             4
Concat std::string and std::to_chars and string to std::string_mean                                                  198 ns          198 ns            4
Concat std::string and std::to_chars and string to std::string_median                                                198 ns          198 ns            4
