Benchmarks of simstr, version 1.8.1
Sources: https://github.com/orefkov/simstr
Results: https://orefkov.github.io/simstr/results.html
Compiler Clang 22.0.0
2026-03-22T13:18:22+03:00
Running ./benchStr
Run on (32 X 2494.22 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
Load Average: 0.20, 0.67, 0.53
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
--------------------------------------------------------------------------------------------------------------------------------------------------------
-----  Concatenate email ---------/repeats:1                                                                       0.000 ns        0.000 ns   1000000000000
Concat email std::format_mean                                                                                        167 ns          167 ns            4
Concat email std::format_median                                                                                      166 ns          166 ns            4
Concat email std::format_stddev                                                                                     2.04 ns         2.04 ns            4
Concat email std::format_cv                                                                                         1.22 %          1.22 %             4
Concat email std::stringstream_mean                                                                                  379 ns          379 ns            4
Concat email std::stringstream_median                                                                                379 ns          379 ns            4
Concat email std::stringstream_stddev                                                                               2.80 ns         2.80 ns            4
Concat email std::stringstream_cv                                                                                   0.74 %          0.74 %             4
Concat email stringzilla append_mean                                                                                 143 ns          143 ns            4
Concat email stringzilla append_median                                                                               142 ns          142 ns            4
Concat email stringzilla append_stddev                                                                              4.40 ns         4.40 ns            4
Concat email stringzilla append_cv                                                                                  3.07 %          3.07 %             4
Concat email stringzilla concat_mean                                                                                54.6 ns         54.6 ns            4
Concat email stringzilla concat_median                                                                              54.3 ns         54.3 ns            4
Concat email stringzilla concat_stddev                                                                              1.36 ns         1.36 ns            4
Concat email stringzilla concat_cv                                                                                  2.50 %          2.50 %             4
Concat email std::string append_mean                                                                                73.9 ns         73.9 ns            4
Concat email std::string append_median                                                                              74.2 ns         74.2 ns            4
Concat email std::string append_stddev                                                                             0.919 ns        0.919 ns            4
Concat email std::string append_cv                                                                                  1.24 %          1.24 %             4
Concat email std::string by strexpr_mean                                                                            46.8 ns         46.8 ns            4
Concat email std::string by strexpr_median                                                                          47.4 ns         47.4 ns            4
Concat email std::string by strexpr_stddev                                                                          1.39 ns         1.39 ns            4
Concat email std::string by strexpr_cv                                                                              2.96 %          2.96 %             4
Concat email stringa_mean                                                                                           39.1 ns         39.1 ns            4
Concat email stringa_median                                                                                         38.9 ns         38.9 ns            4
Concat email stringa_stddev                                                                                        0.543 ns        0.543 ns            4
Concat email stringa_cv                                                                                             1.39 %          1.39 %             4
-----  Concatenate string + Number + "Literal" ---------/repeats:1                                                 0.000 ns        0.000 ns   1000000000000
Concat std::string and number by std to std::string_mean                                                             223 ns          223 ns            4
Concat std::string and number by std to std::string_median                                                           223 ns          223 ns            4
Concat std::string and number by std to std::string_stddev                                                          3.04 ns         3.04 ns            4
Concat std::string and number by std to std::string_cv                                                              1.36 %          1.36 %             4
Concat std::string and number by StrExpr to std::string_mean                                                         105 ns          105 ns            4
Concat std::string and number by StrExpr to std::string_median                                                       106 ns          106 ns            4
Concat std::string and number by StrExpr to std::string_stddev                                                      2.70 ns         2.70 ns            4
Concat std::string and number by StrExpr to std::string_cv                                                          2.56 %          2.56 %             4
Concat stringa and number by StrExpr to simstr::stringa_mean                                                        64.9 ns         64.9 ns            4
Concat stringa and number by StrExpr to simstr::stringa_median                                                      64.8 ns         64.8 ns            4
Concat stringa and number by StrExpr to simstr::stringa_stddev                                                     0.353 ns        0.353 ns            4
Concat stringa and number by StrExpr to simstr::stringa_cv                                                          0.54 %          0.54 %             4
Concat stringa and number by e_concat to simstr::stringa_mean                                                       72.3 ns         72.3 ns            4
Concat stringa and number by e_concat to simstr::stringa_median                                                     71.9 ns         71.9 ns            4
Concat stringa and number by e_concat to simstr::stringa_stddev                                                     1.59 ns         1.59 ns            4
Concat stringa and number by e_concat to simstr::stringa_cv                                                         2.20 %          2.20 %             4
-----  Concatenate string + Hex Number + "Literal" ---------/repeats:1                                             0.000 ns        0.000 ns   1000000000000
Concat std::string and format hex number and literal to std::string_mean                                             696 ns          696 ns            4
Concat std::string and format hex number and literal to std::string_median                                           699 ns          699 ns            4
Concat std::string and format hex number and literal to std::string_stddev                                          9.35 ns         9.34 ns            4
Concat std::string and format hex number and literal to std::string_cv                                              1.34 %          1.34 %             4
std::format std::string and hex number by literal to std::string_mean                                                828 ns          828 ns            4
std::format std::string and hex number by literal to std::string_median                                              827 ns          827 ns            4
std::format std::string and hex number by literal to std::string_stddev                                             25.8 ns         25.8 ns            4
std::format std::string and hex number by literal to std::string_cv                                                 3.11 %          3.11 %             4
Concat std::string and std::to_chars and string to std::string_mean                                                  210 ns          210 ns            4
Concat std::string and std::to_chars and string to std::string_median                                                210 ns          210 ns            4
Concat std::string and std::to_chars and string to std::string_stddev                                               3.35 ns         3.35 ns            4
Concat std::string and std::to_chars and string to std::string_cv                                                   1.60 %          1.60 %             4
Concat std::string and hex number and literal by StrExpr to std::string_mean                                         134 ns          134 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_median                                       134 ns          134 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_stddev                                      1.42 ns         1.42 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_cv                                          1.06 %          1.06 %             4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_mean                                         117 ns          117 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_median                                       118 ns          118 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_stddev                                     0.602 ns        0.602 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_cv                                          0.51 %          0.51 %             4
Concat stringa and hex number and literal by e_concat to simstr::stringa_mean                                        128 ns          128 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_median                                      126 ns          126 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_stddev                                     4.95 ns         4.95 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_cv                                         3.87 %          3.87 %             4
Subst stringa and hex number by e_subst literal to simstr::stringa_mean                                              193 ns          193 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_median                                            187 ns          187 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_stddev                                           13.1 ns         13.1 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_cv                                               6.78 %          6.78 %             4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_mean                                                333 ns          333 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_median                                              324 ns          324 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_stddev                                             29.5 ns         29.5 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_cv                                                 8.88 %          8.88 %             4
---- format/vformat and subst/vsubst octal number to 32 symbols result ----/repeats:1                              0.000 ns        0.000 ns   1000000000000
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_mean                                                              271 ns          271 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_median                                                            271 ns          271 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_stddev                                                           1.20 ns         1.20 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_cv                                                               0.44 %          0.44 %             4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_mean                                                            357 ns          357 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_median                                                          357 ns          357 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_stddev                                                         1.91 ns         1.91 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_cv                                                             0.54 %          0.54 %             4
e_vsubst(pattern, i / 0x8a010_fmt)_mean                                                                              621 ns          621 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_median                                                                            607 ns          607 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_stddev                                                                           47.0 ns         47.0 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_cv                                                                               7.56 %          7.56 %             4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_mean                                                   723 ns          723 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_median                                                 722 ns          722 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_stddev                                                12.0 ns         12.0 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_cv                                                    1.66 %          1.66 %             4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_mean                                                                842 ns          842 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_median                                                              840 ns          840 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_stddev                                                             27.2 ns         27.2 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_cv                                                                 3.22 %          3.22 %             4
std::format("abcdefghihklmopqr {:#010o} end", i)_mean                                                               1017 ns         1017 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_median                                                             1011 ns         1011 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_stddev                                                             11.7 ns         11.7 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_cv                                                                 1.15 %          1.15 %             4
std::vformat(pattern, std::make_format_args(i))_mean                                                                 999 ns          999 ns            4
std::vformat(pattern, std::make_format_args(i))_median                                                               994 ns          994 ns            4
std::vformat(pattern, std::make_format_args(i))_stddev                                                              24.6 ns         24.6 ns            4
std::vformat(pattern, std::make_format_args(i))_cv                                                                  2.46 %          2.46 %             4
std::format with std::formatted_size_mean                                                                           1867 ns         1867 ns            4
std::format with std::formatted_size_median                                                                         1881 ns         1881 ns            4
std::format with std::formatted_size_stddev                                                                         33.7 ns         33.7 ns            4
std::format with std::formatted_size_cv                                                                             1.80 %          1.80 %             4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_mean                  2074 ns         2074 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_median                2074 ns         2074 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_stddev                6.88 ns         6.87 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_cv                    0.33 %          0.33 %             4
