Benchmarks of simstr, version 1.7.2
Sources: https://github.com/orefkov/simstr
Results: https://orefkov.github.io/simstr/results.html
Compiler Clang 22.0.0, use libc++
2026-02-27T22:45:08+03:00
Running ./benchStr
Run on (32 X 2494.22 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
Load Average: 0.03, 0.45, 0.43
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
--------------------------------------------------------------------------------------------------------------------------------------------------------
-----  Concatenate email ---------/repeats:1                                                                       0.000 ns        0.000 ns   1000000000000
Concat email std::format_mean                                                                                        167 ns          167 ns            4
Concat email std::format_median                                                                                      165 ns          165 ns            4
Concat email std::format_stddev                                                                                     6.31 ns         6.31 ns            4
Concat email std::format_cv                                                                                         3.78 %          3.78 %             4
Concat email std::stringstream_mean                                                                                  268 ns          268 ns            4
Concat email std::stringstream_median                                                                                264 ns          264 ns            4
Concat email std::stringstream_stddev                                                                               10.9 ns         10.9 ns            4
Concat email std::stringstream_cv                                                                                   4.05 %          4.05 %             4
Concat email stringzilla append_mean                                                                                 141 ns          141 ns            4
Concat email stringzilla append_median                                                                               141 ns          141 ns            4
Concat email stringzilla append_stddev                                                                              2.96 ns         2.96 ns            4
Concat email stringzilla append_cv                                                                                  2.10 %          2.10 %             4
Concat email stringzilla concat_mean                                                                                58.3 ns         58.3 ns            4
Concat email stringzilla concat_median                                                                              59.0 ns         59.0 ns            4
Concat email stringzilla concat_stddev                                                                              2.06 ns         2.06 ns            4
Concat email stringzilla concat_cv                                                                                  3.54 %          3.54 %             4
Concat email std::string append_mean                                                                                94.9 ns         94.9 ns            4
Concat email std::string append_median                                                                              92.7 ns         92.7 ns            4
Concat email std::string append_stddev                                                                              7.48 ns         7.48 ns            4
Concat email std::string append_cv                                                                                  7.88 %          7.88 %             4
Concat email std::string by strexpr_mean                                                                            45.2 ns         45.2 ns            4
Concat email std::string by strexpr_median                                                                          45.1 ns         45.1 ns            4
Concat email std::string by strexpr_stddev                                                                         0.338 ns        0.338 ns            4
Concat email std::string by strexpr_cv                                                                              0.75 %          0.75 %             4
Concat email stringa_mean                                                                                           39.3 ns         39.3 ns            4
Concat email stringa_median                                                                                         38.8 ns         38.8 ns            4
Concat email stringa_stddev                                                                                         1.26 ns         1.26 ns            4
Concat email stringa_cv                                                                                             3.21 %          3.21 %             4
-----  Concatenate string + Number + "Literal" ---------/repeats:1                                                 0.000 ns        0.000 ns   1000000000000
Concat std::string and number by std to std::string_mean                                                             239 ns          239 ns            4
Concat std::string and number by std to std::string_median                                                           240 ns          240 ns            4
Concat std::string and number by std to std::string_stddev                                                          5.24 ns         5.24 ns            4
Concat std::string and number by std to std::string_cv                                                              2.19 %          2.19 %             4
Concat std::string and number by StrExpr to std::string_mean                                                         100 ns          100 ns            4
Concat std::string and number by StrExpr to std::string_median                                                     100.0 ns        100.0 ns            4
Concat std::string and number by StrExpr to std::string_stddev                                                      1.43 ns         1.43 ns            4
Concat std::string and number by StrExpr to std::string_cv                                                          1.42 %          1.42 %             4
Concat stringa and number by StrExpr to simstr::stringa_mean                                                        65.1 ns         65.1 ns            4
Concat stringa and number by StrExpr to simstr::stringa_median                                                      64.5 ns         64.5 ns            4
Concat stringa and number by StrExpr to simstr::stringa_stddev                                                      2.41 ns         2.41 ns            4
Concat stringa and number by StrExpr to simstr::stringa_cv                                                          3.69 %          3.69 %             4
Concat stringa and number by e_concat to simstr::stringa_mean                                                       67.8 ns         67.8 ns            4
Concat stringa and number by e_concat to simstr::stringa_median                                                     67.9 ns         67.9 ns            4
Concat stringa and number by e_concat to simstr::stringa_stddev                                                    0.788 ns        0.788 ns            4
Concat stringa and number by e_concat to simstr::stringa_cv                                                         1.16 %          1.16 %             4
-----  Concatenate string + Hex Number + "Literal" ---------/repeats:1                                             0.000 ns        0.000 ns   1000000000000
Concat std::string and format hex number and literal to std::string_mean                                             703 ns          703 ns            4
Concat std::string and format hex number and literal to std::string_median                                           697 ns          697 ns            4
Concat std::string and format hex number and literal to std::string_stddev                                          18.7 ns         18.7 ns            4
Concat std::string and format hex number and literal to std::string_cv                                              2.65 %          2.65 %             4
std::format std::string and hex number by literal to std::string_mean                                                804 ns          804 ns            4
std::format std::string and hex number by literal to std::string_median                                              787 ns          787 ns            4
std::format std::string and hex number by literal to std::string_stddev                                             47.4 ns         47.4 ns            4
std::format std::string and hex number by literal to std::string_cv                                                 5.89 %          5.89 %             4
Concat std::string and std::to_chars and string to std::string_mean                                                  218 ns          218 ns            4
Concat std::string and std::to_chars and string to std::string_median                                                218 ns          218 ns            4
Concat std::string and std::to_chars and string to std::string_stddev                                               5.87 ns         5.87 ns            4
Concat std::string and std::to_chars and string to std::string_cv                                                   2.69 %          2.69 %             4
Concat std::string and hex number and literal by StrExpr to std::string_mean                                         145 ns          145 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_median                                       145 ns          145 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_stddev                                     0.874 ns        0.874 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_cv                                          0.60 %          0.60 %             4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_mean                                         115 ns          115 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_median                                       115 ns          115 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_stddev                                      2.04 ns         2.04 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_cv                                          1.77 %          1.77 %             4
Concat stringa and hex number and literal by e_concat to simstr::stringa_mean                                        123 ns          123 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_median                                      123 ns          123 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_stddev                                     3.43 ns         3.43 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_cv                                         2.79 %          2.79 %             4
Subst stringa and hex number by e_subst literal to simstr::stringa_mean                                              183 ns          183 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_median                                            184 ns          184 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_stddev                                           4.96 ns         4.96 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_cv                                               2.71 %          2.71 %             4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_mean                                                320 ns          320 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_median                                              319 ns          319 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_stddev                                             6.95 ns         6.95 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_cv                                                 2.17 %          2.17 %             4
---- format/vformat and subst/vsubst octal number to 32 symbols result ----/repeats:1                              0.000 ns        0.000 ns   1000000000000
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_mean                                                              278 ns          278 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_median                                                            281 ns          281 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_stddev                                                           8.53 ns         8.53 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_cv                                                               3.08 %          3.08 %             4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_mean                                                            357 ns          357 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_median                                                          361 ns          361 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_stddev                                                         7.17 ns         7.17 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_cv                                                             2.01 %          2.01 %             4
e_vsubst(pattern, i / 0x8a010_fmt)_mean                                                                              640 ns          640 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_median                                                                            645 ns          645 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_stddev                                                                           21.4 ns         21.5 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_cv                                                                               3.35 %          3.35 %             4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_mean                                                   668 ns          668 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_median                                                 660 ns          660 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_stddev                                                25.8 ns         25.8 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_cv                                                    3.87 %          3.87 %             4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_mean                                                                795 ns          795 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_median                                                              788 ns          788 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_stddev                                                             21.0 ns         21.0 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_cv                                                                 2.65 %          2.65 %             4
std::format("abcdefghihklmopqr {:#010o} end", i)_mean                                                               1216 ns         1216 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_median                                                             1209 ns         1209 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_stddev                                                             22.3 ns         22.3 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_cv                                                                 1.83 %          1.83 %             4
std::vformat(pattern, std::make_format_args(i))_mean                                                                1243 ns         1243 ns            4
std::vformat(pattern, std::make_format_args(i))_median                                                              1238 ns         1238 ns            4
std::vformat(pattern, std::make_format_args(i))_stddev                                                              48.6 ns         48.6 ns            4
std::vformat(pattern, std::make_format_args(i))_cv                                                                  3.91 %          3.91 %             4
std::format with std::formatted_size_mean                                                                           2159 ns         2159 ns            4
std::format with std::formatted_size_median                                                                         2144 ns         2144 ns            4
std::format with std::formatted_size_stddev                                                                         65.1 ns         65.1 ns            4
std::format with std::formatted_size_cv                                                                             3.01 %          3.01 %             4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_mean                  2594 ns         2594 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_median                2601 ns         2601 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_stddev                95.5 ns         95.5 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_cv                    3.68 %          3.68 %             4
