2026-01-31T15:51:52+03:00
Running ./benchStr
Run on (32 X 2494.22 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
Load Average: 0.05, 0.01, 0.00
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
--------------------------------------------------------------------------------------------------------------------------------------------------------
-----  Concatenate string + Number + "Literal" ---------/repeats:1                                                 0.000 ns        0.000 ns   1000000000000
Concat std::string and number by std to std::string_mean                                                             199 ns          199 ns           10
Concat std::string and number by std to std::string_median                                                           198 ns          198 ns           10
Concat std::string and number by std to std::string_stddev                                                          4.25 ns         4.25 ns           10
Concat std::string and number by std to std::string_cv                                                              2.13 %          2.13 %            10
Concat std::string and number by StrExpr to std::string_mean                                                        94.7 ns         94.7 ns           10
Concat std::string and number by StrExpr to std::string_median                                                      94.1 ns         94.1 ns           10
Concat std::string and number by StrExpr to std::string_stddev                                                      2.48 ns         2.47 ns           10
Concat std::string and number by StrExpr to std::string_cv                                                          2.61 %          2.61 %            10
Concat stringa and number by StrExpr to simstr::stringa_mean                                                        71.6 ns         71.6 ns           10
Concat stringa and number by StrExpr to simstr::stringa_median                                                      70.3 ns         70.3 ns           10
Concat stringa and number by StrExpr to simstr::stringa_stddev                                                      3.32 ns         3.32 ns           10
Concat stringa and number by StrExpr to simstr::stringa_cv                                                          4.63 %          4.63 %            10
Concat stringa and number by e_concat to simstr::stringa_mean                                                       75.7 ns         75.7 ns           10
Concat stringa and number by e_concat to simstr::stringa_median                                                     75.9 ns         75.9 ns           10
Concat stringa and number by e_concat to simstr::stringa_stddev                                                     1.50 ns         1.50 ns           10
Concat stringa and number by e_concat to simstr::stringa_cv                                                         1.98 %          1.98 %            10
-----  Concatenate string + Hex Number + "Literal" ---------/repeats:1                                             0.000 ns        0.000 ns   1000000000000
Concat std::string and format hex number and literal to std::string_mean                                             643 ns          643 ns           10
Concat std::string and format hex number and literal to std::string_median                                           640 ns          640 ns           10
Concat std::string and format hex number and literal to std::string_stddev                                          25.1 ns         25.1 ns           10
Concat std::string and format hex number and literal to std::string_cv                                              3.90 %          3.90 %            10
std::format std::string and hex number by literal to std::string_mean                                                926 ns          926 ns           10
std::format std::string and hex number by literal to std::string_median                                              900 ns          900 ns           10
std::format std::string and hex number by literal to std::string_stddev                                             75.2 ns         75.2 ns           10
std::format std::string and hex number by literal to std::string_cv                                                 8.12 %          8.12 %            10
Concat std::string and std::tochars and string to std::string_mean                                                   175 ns          175 ns           10
Concat std::string and std::tochars and string to std::string_median                                                 175 ns          175 ns           10
Concat std::string and std::tochars and string to std::string_stddev                                                1.43 ns         1.43 ns           10
