Benchmarks of simstr, version 1.7.2
Sources: https://github.com/orefkov/simstr
Results: https://orefkov.github.io/simstr/results.html
Compiler GNU 15.2.0
2026-02-27T18:08:43+03:00
Running ./benchStr
Run on (32 X 2494.22 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
Load Average: 0.00, 0.00, 0.00
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
--------------------------------------------------------------------------------------------------------------------------------------------------------
-----  Concatenate email ---------/repeats:1                                                                       0.000 ns        0.000 ns   1000000000000
Concat email std::format_mean                                                                                        160 ns          160 ns            4
Concat email std::format_median                                                                                      160 ns          160 ns            4
Concat email std::format_stddev                                                                                     2.26 ns         2.26 ns            4
Concat email std::format_cv                                                                                         1.41 %          1.41 %             4
Concat email std::stringstream_mean                                                                                  318 ns          318 ns            4
Concat email std::stringstream_median                                                                                317 ns          317 ns            4
Concat email std::stringstream_stddev                                                                               3.89 ns         3.88 ns            4
Concat email std::stringstream_cv                                                                                   1.22 %          1.22 %             4
Concat email stringzilla append_mean                                                                                 108 ns          108 ns            4
Concat email stringzilla append_median                                                                               107 ns          107 ns            4
Concat email stringzilla append_stddev                                                                              4.44 ns         4.44 ns            4
Concat email stringzilla append_cv                                                                                  4.12 %          4.12 %             4
Concat email stringzilla concat_mean                                                                                42.7 ns         42.7 ns            4
Concat email stringzilla concat_median                                                                              42.8 ns         42.8 ns            4
Concat email stringzilla concat_stddev                                                                              1.44 ns         1.44 ns            4
Concat email stringzilla concat_cv                                                                                  3.38 %          3.38 %             4
Concat email std::string append_mean                                                                                77.9 ns         78.0 ns            4
Concat email std::string append_median                                                                              78.0 ns         78.1 ns            4
Concat email std::string append_stddev                                                                              1.48 ns         1.48 ns            4
Concat email std::string append_cv                                                                                  1.90 %          1.90 %             4
Concat email std::string by strexpr_mean                                                                            33.6 ns         33.6 ns            4
Concat email std::string by strexpr_median                                                                          33.6 ns         33.6 ns            4
Concat email std::string by strexpr_stddev                                                                         0.759 ns        0.759 ns            4
Concat email std::string by strexpr_cv                                                                              2.26 %          2.26 %             4
Concat email stringa_mean                                                                                           39.7 ns         39.7 ns            4
Concat email stringa_median                                                                                         39.7 ns         39.7 ns            4
Concat email stringa_stddev                                                                                        0.737 ns        0.737 ns            4
Concat email stringa_cv                                                                                             1.86 %          1.86 %             4
-----  Concatenate string + Number + "Literal" ---------/repeats:1                                                 0.000 ns        0.000 ns   1000000000000
Concat std::string and number by std to std::string_mean                                                             207 ns          207 ns            4
Concat std::string and number by std to std::string_median                                                           207 ns          207 ns            4
Concat std::string and number by std to std::string_stddev                                                          1.29 ns         1.29 ns            4
Concat std::string and number by std to std::string_cv                                                              0.62 %          0.62 %             4
Concat std::string and number by StrExpr to std::string_mean                                                         101 ns          101 ns            4
Concat std::string and number by StrExpr to std::string_median                                                      98.3 ns         98.3 ns            4
Concat std::string and number by StrExpr to std::string_stddev                                                      9.04 ns         9.04 ns            4
Concat std::string and number by StrExpr to std::string_cv                                                          8.95 %          8.95 %             4
Concat stringa and number by StrExpr to simstr::stringa_mean                                                        68.1 ns         68.1 ns            4
Concat stringa and number by StrExpr to simstr::stringa_median                                                      67.9 ns         67.9 ns            4
Concat stringa and number by StrExpr to simstr::stringa_stddev                                                     0.725 ns        0.725 ns            4
Concat stringa and number by StrExpr to simstr::stringa_cv                                                          1.06 %          1.06 %             4
Concat stringa and number by e_concat to simstr::stringa_mean                                                       76.4 ns         76.4 ns            4
Concat stringa and number by e_concat to simstr::stringa_median                                                     77.1 ns         77.1 ns            4
Concat stringa and number by e_concat to simstr::stringa_stddev                                                     2.85 ns         2.84 ns            4
Concat stringa and number by e_concat to simstr::stringa_cv                                                         3.73 %          3.72 %             4
-----  Concatenate string + Hex Number + "Literal" ---------/repeats:1                                             0.000 ns        0.000 ns   1000000000000
Concat std::string and format hex number and literal to std::string_mean                                             742 ns          742 ns            4
Concat std::string and format hex number and literal to std::string_median                                           742 ns          742 ns            4
Concat std::string and format hex number and literal to std::string_stddev                                          16.5 ns         16.5 ns            4
Concat std::string and format hex number and literal to std::string_cv                                              2.23 %          2.23 %             4
std::format std::string and hex number by literal to std::string_mean                                                850 ns          850 ns            4
std::format std::string and hex number by literal to std::string_median                                              852 ns          852 ns            4
std::format std::string and hex number by literal to std::string_stddev                                             15.4 ns         15.4 ns            4
std::format std::string and hex number by literal to std::string_cv                                                 1.82 %          1.82 %             4
Concat std::string and std::to_chars and string to std::string_mean                                                  194 ns          194 ns            4
Concat std::string and std::to_chars and string to std::string_median                                                195 ns          195 ns            4
Concat std::string and std::to_chars and string to std::string_stddev                                               3.28 ns         3.28 ns            4
Concat std::string and std::to_chars and string to std::string_cv                                                   1.69 %          1.69 %             4
Concat std::string and hex number and literal by StrExpr to std::string_mean                                         121 ns          121 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_median                                       121 ns          121 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_stddev                                     0.924 ns        0.924 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_cv                                          0.76 %          0.76 %             4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_mean                                         116 ns          116 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_median                                       116 ns          116 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_stddev                                     0.500 ns        0.500 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_cv                                          0.43 %          0.43 %             4
Concat stringa and hex number and literal by e_concat to simstr::stringa_mean                                        121 ns          121 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_median                                      121 ns          121 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_stddev                                     2.16 ns         2.16 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_cv                                         1.78 %          1.78 %             4
Subst stringa and hex number by e_subst literal to simstr::stringa_mean                                              165 ns          165 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_median                                            165 ns          165 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_stddev                                           2.30 ns         2.30 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_cv                                               1.39 %          1.39 %             4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_mean                                                275 ns          275 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_median                                              274 ns          274 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_stddev                                             6.30 ns         6.30 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_cv                                                 2.29 %          2.29 %             4
---- format/vformat and subst/vsubst octal number to 32 symbols result ----/repeats:1                              0.000 ns        0.000 ns   1000000000000
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_mean                                                              259 ns          259 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_median                                                            261 ns          261 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_stddev                                                           4.08 ns         4.08 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_cv                                                               1.57 %          1.57 %             4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_mean                                                            314 ns          314 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_median                                                          312 ns          312 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_stddev                                                         8.25 ns         8.25 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_cv                                                             2.63 %          2.63 %             4
e_vsubst(pattern, i / 0x8a010_fmt)_mean                                                                              571 ns          571 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_median                                                                            571 ns          571 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_stddev                                                                           8.09 ns         8.09 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_cv                                                                               1.42 %          1.42 %             4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_mean                                                   632 ns          632 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_median                                                 634 ns          634 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_stddev                                                11.4 ns         11.4 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_cv                                                    1.80 %          1.80 %             4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_mean                                                                747 ns          747 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_median                                                              745 ns          745 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_stddev                                                             13.1 ns         13.1 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_cv                                                                 1.75 %          1.75 %             4
std::format("abcdefghihklmopqr {:#010o} end", i)_mean                                                               1210 ns         1210 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_median                                                             1208 ns         1208 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_stddev                                                             17.5 ns         17.5 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_cv                                                                 1.44 %          1.44 %             4
std::vformat(pattern, std::make_format_args(i))_mean                                                                1241 ns         1241 ns            4
std::vformat(pattern, std::make_format_args(i))_median                                                              1225 ns         1225 ns            4
std::vformat(pattern, std::make_format_args(i))_stddev                                                              31.2 ns         31.1 ns            4
std::vformat(pattern, std::make_format_args(i))_cv                                                                  2.51 %          2.51 %             4
std::format with std::formatted_size_mean                                                                           2117 ns         2117 ns            4
std::format with std::formatted_size_median                                                                         2116 ns         2116 ns            4
std::format with std::formatted_size_stddev                                                                         19.1 ns         19.1 ns            4
std::format with std::formatted_size_cv                                                                             0.90 %          0.90 %             4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_mean                  1954 ns         1954 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_median                1944 ns         1944 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_stddev                31.4 ns         31.4 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_cv                    1.61 %          1.61 %             4
