2026-01-30T14:37:24+03:00
Running benchStr.exe
Run on (32 X 2494 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
--------------------------------------------------------------------------------------------------------------------------------------------------------
-----  Concatenate string + Number + "Literal" ---------/repeats:1                                                 0.000 ns        0.000 ns   1000000000000
Concat std::string and number by std to std::string_mean                                                             263 ns          263 ns           10
Concat std::string and number by std to std::string_median                                                           261 ns          261 ns           10
Concat std::string and number by std to std::string_stddev                                                          9.23 ns         9.70 ns           10
Concat std::string and number by std to std::string_cv                                                              3.51 %          3.69 %            10
Concat std::string and number by StrExpr to std::string_mean                                                         152 ns          152 ns           10
Concat std::string and number by StrExpr to std::string_median                                                       152 ns          153 ns           10
Concat std::string and number by StrExpr to std::string_stddev                                                      2.17 ns         2.47 ns           10
Concat std::string and number by StrExpr to std::string_cv                                                          1.42 %          1.63 %            10
Concat stringa and number by StrExpr to simstr::stringa_mean                                                        67.5 ns         67.4 ns           10
Concat stringa and number by StrExpr to simstr::stringa_median                                                      66.7 ns         67.0 ns           10
Concat stringa and number by StrExpr to simstr::stringa_stddev                                                      3.22 ns         3.16 ns           10
Concat stringa and number by StrExpr to simstr::stringa_cv                                                          4.78 %          4.69 %            10
Concat stringa and number by e_concat to simstr::stringa_mean                                                       74.8 ns         74.6 ns           10
Concat stringa and number by e_concat to simstr::stringa_median                                                     75.0 ns         75.0 ns           10
Concat stringa and number by e_concat to simstr::stringa_stddev                                                     1.62 ns         1.38 ns           10
Concat stringa and number by e_concat to simstr::stringa_cv                                                         2.17 %          1.84 %            10
-----  Concatenate string + Hex Number + "Literal" ---------/repeats:1                                             0.000 ns        0.000 ns   1000000000000
Concat std::string and format hex number and literal to std::string_mean                                             717 ns          716 ns           10
Concat std::string and format hex number and literal to std::string_median                                           714 ns          711 ns           10
Concat std::string and format hex number and literal to std::string_stddev                                          22.9 ns         19.8 ns           10
Concat std::string and format hex number and literal to std::string_cv                                              3.19 %          2.76 %            10
std::format std::string and hex number by literal to std::string_mean                                               1502 ns         1496 ns           10
std::format std::string and hex number by literal to std::string_median                                             1491 ns         1465 ns           10
std::format std::string and hex number by literal to std::string_stddev                                             82.1 ns         95.1 ns           10
std::format std::string and hex number by literal to std::string_cv                                                 5.46 %          6.36 %            10
Concat std::string and std::tochars and string to std::string_mean                                                   193 ns          193 ns           10
Concat std::string and std::tochars and string to std::string_median                                                 192 ns          190 ns           10
Concat std::string and std::tochars and string to std::string_stddev                                                6.73 ns         8.60 ns           10
Concat std::string and std::tochars and string to std::string_cv                                                    3.50 %          4.47 %            10
