Benchmarks of simstr, version 1.8.1
Sources: https://github.com/orefkov/simstr
Results: https://orefkov.github.io/simstr/results.html
Compiler Clang 22.1.0
2026-03-22T14:13:24+03:00
Running benchStr.exe
Run on (32 X 2494 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
--------------------------------------------------------------------------------------------------------------------------------------------------------
-----  Concatenate email ---------/repeats:1                                                                       0.000 ns        0.000 ns   1000000000000
Concat email std::format_mean                                                                                        201 ns          198 ns            4
Concat email std::format_median                                                                                      202 ns          197 ns            4
Concat email std::format_stddev                                                                                     3.07 ns         4.34 ns            4
Concat email std::format_cv                                                                                         1.52 %          2.19 %             4
Concat email std::stringstream_mean                                                                                  830 ns          827 ns            4
Concat email std::stringstream_median                                                                                834 ns          827 ns            4
Concat email std::stringstream_stddev                                                                               18.5 ns         12.1 ns            4
Concat email std::stringstream_cv                                                                                   2.23 %          1.46 %             4
Concat email stringzilla append_mean                                                                                 273 ns          271 ns            4
Concat email stringzilla append_median                                                                               274 ns          273 ns            4
Concat email stringzilla append_stddev                                                                              3.38 ns         2.96 ns            4
Concat email stringzilla append_cv                                                                                  1.24 %          1.09 %             4
Concat email stringzilla concat_mean                                                                                 126 ns          127 ns            4
Concat email stringzilla concat_median                                                                               127 ns          127 ns            4
Concat email stringzilla concat_stddev                                                                              1.88 ns         1.61 ns            4
Concat email stringzilla concat_cv                                                                                  1.48 %          1.27 %             4
Concat email std::string append_mean                                                                                 187 ns          185 ns            4
Concat email std::string append_median                                                                               187 ns          184 ns            4
Concat email std::string append_stddev                                                                              2.11 ns         2.09 ns            4
Concat email std::string append_cv                                                                                  1.13 %          1.13 %             4
Concat email std::string by strexpr_mean                                                                             104 ns          104 ns            4
Concat email std::string by strexpr_median                                                                           103 ns          104 ns            4
Concat email std::string by strexpr_stddev                                                                          1.83 ns         2.00 ns            4
Concat email std::string by strexpr_cv                                                                              1.76 %          1.92 %             4
Concat email stringa_mean                                                                                           94.4 ns         94.2 ns            4
Concat email stringa_median                                                                                         94.9 ns         94.2 ns            4
Concat email stringa_stddev                                                                                         2.21 ns         1.71 ns            4
Concat email stringa_cv                                                                                             2.34 %          1.81 %             4
-----  Concatenate string + Number + "Literal" ---------/repeats:1                                                 0.000 ns        0.000 ns   1000000000000
Concat std::string and number by std to std::string_mean                                                             268 ns          268 ns            4
Concat std::string and number by std to std::string_median                                                           267 ns          267 ns            4
Concat std::string and number by std to std::string_stddev                                                          7.57 ns         10.7 ns            4
Concat std::string and number by std to std::string_cv                                                              2.83 %          3.99 %             4
Concat std::string and number by StrExpr to std::string_mean                                                         160 ns          160 ns            4
Concat std::string and number by StrExpr to std::string_median                                                       160 ns          160 ns            4
Concat std::string and number by StrExpr to std::string_stddev                                                      4.44 ns         4.39 ns            4
Concat std::string and number by StrExpr to std::string_cv                                                          2.78 %          2.75 %             4
Concat stringa and number by StrExpr to simstr::stringa_mean                                                        68.7 ns         68.4 ns            4
Concat stringa and number by StrExpr to simstr::stringa_median                                                      68.4 ns         68.4 ns            4
Concat stringa and number by StrExpr to simstr::stringa_stddev                                                      1.17 ns        0.000 ns            4
Concat stringa and number by StrExpr to simstr::stringa_cv                                                          1.70 %          0.00 %             4
Concat stringa and number by e_concat to simstr::stringa_mean                                                       74.2 ns         74.3 ns            4
Concat stringa and number by e_concat to simstr::stringa_median                                                     74.1 ns         73.9 ns            4
Concat stringa and number by e_concat to simstr::stringa_stddev                                                    0.363 ns        0.698 ns            4
Concat stringa and number by e_concat to simstr::stringa_cv                                                         0.49 %          0.94 %             4
-----  Concatenate string + Hex Number + "Literal" ---------/repeats:1                                             0.000 ns        0.000 ns   1000000000000
Concat std::string and format hex number and literal to std::string_mean                                             725 ns          722 ns            4
Concat std::string and format hex number and literal to std::string_median                                           727 ns          725 ns            4
Concat std::string and format hex number and literal to std::string_stddev                                          8.98 ns         6.98 ns            4
Concat std::string and format hex number and literal to std::string_cv                                              1.24 %          0.97 %             4
std::format std::string and hex number by literal to std::string_mean                                               1525 ns         1508 ns            4
std::format std::string and hex number by literal to std::string_median                                             1525 ns         1517 ns            4
std::format std::string and hex number by literal to std::string_stddev                                             29.4 ns         33.4 ns            4
std::format std::string and hex number by literal to std::string_cv                                                 1.93 %          2.21 %             4
Concat std::string and std::to_chars and string to std::string_mean                                                  188 ns          186 ns            4
Concat std::string and std::to_chars and string to std::string_median                                                189 ns          186 ns            4
Concat std::string and std::to_chars and string to std::string_stddev                                               3.60 ns         2.42 ns            4
Concat std::string and std::to_chars and string to std::string_cv                                                   1.91 %          1.30 %             4
Concat std::string and hex number and literal by StrExpr to std::string_mean                                        84.6 ns         84.1 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_median                                      85.1 ns         84.6 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_stddev                                      1.31 ns         1.67 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_cv                                          1.55 %          1.98 %             4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_mean                                        71.4 ns         71.1 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_median                                      71.3 ns         70.6 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_stddev                                      1.52 ns         1.67 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_cv                                          2.12 %          2.35 %             4
Concat stringa and hex number and literal by e_concat to simstr::stringa_mean                                       76.9 ns         76.3 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_median                                     77.0 ns         75.9 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_stddev                                    0.926 ns         1.67 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_cv                                         1.20 %          2.19 %             4
Subst stringa and hex number by e_subst literal to simstr::stringa_mean                                              149 ns          150 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_median                                            149 ns          149 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_stddev                                           2.26 ns         3.01 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_cv                                               1.51 %          2.01 %             4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_mean                                                287 ns          287 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_median                                              286 ns          285 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_stddev                                             5.37 ns         8.34 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_cv                                                 1.87 %          2.91 %             4
---- format/vformat and subst/vsubst octal number to 32 symbols result ----/repeats:1                              0.000 ns        0.000 ns   1000000000000
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_mean                                                              639 ns          635 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_median                                                            637 ns          635 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_stddev                                                           5.27 ns         18.0 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_cv                                                               0.83 %          2.84 %             4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_mean                                                            750 ns          746 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_median                                                          749 ns          753 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_stddev                                                         11.7 ns         14.0 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_cv                                                             1.56 %          1.87 %             4
e_vsubst(pattern, i / 0x8a010_fmt)_mean                                                                             1070 ns         1067 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_median                                                                           1070 ns         1057 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_stddev                                                                           27.0 ns         29.6 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_cv                                                                               2.52 %          2.77 %             4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_mean                                                  1433 ns         1437 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_median                                                1440 ns         1451 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_stddev                                                38.0 ns         27.9 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_cv                                                    2.65 %          1.94 %             4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_mean                                                               1327 ns         1318 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_median                                                             1310 ns         1297 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_stddev                                                             39.9 ns         52.8 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_cv                                                                 3.01 %          4.01 %             4
std::format("abcdefghihklmopqr {:#010o} end", i)_mean                                                               1568 ns         1569 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_median                                                             1565 ns         1569 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_stddev                                                             20.6 ns         28.5 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_cv                                                                 1.32 %          1.81 %             4
std::vformat(pattern, std::make_format_args(i))_mean                                                                1555 ns         1543 ns            4
std::vformat(pattern, std::make_format_args(i))_median                                                              1546 ns         1552 ns            4
std::vformat(pattern, std::make_format_args(i))_stddev                                                              40.0 ns         33.4 ns            4
std::vformat(pattern, std::make_format_args(i))_cv                                                                  2.57 %          2.16 %             4
std::format with std::formatted_size_mean                                                                           2496 ns         2490 ns            4
std::format with std::formatted_size_median                                                                         2488 ns         2490 ns            4
std::format with std::formatted_size_stddev                                                                         31.6 ns         68.5 ns            4
std::format with std::formatted_size_cv                                                                             1.27 %          2.75 %             4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_mean                  6707 ns         6731 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_median                6709 ns         6766 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_stddev                 106 ns          134 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_cv                    1.58 %          1.98 %             4
-----  Concatenate string + "Literal" ---------/repeats:1                                                          0.000 ns        0.000 ns   1000000000000
