2026-01-31T15:25:07+03:00
Running benchStr.exe
Run on (32 X 2494 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
--------------------------------------------------------------------------------------------------------------------------------------------------------
-----  Concatenate string + Number + "Literal" ---------/repeats:1                                                 0.000 ns        0.000 ns   1000000000000
Concat std::string and number by std to std::string_mean                                                             313 ns          313 ns           10
Concat std::string and number by std to std::string_median                                                           312 ns          311 ns           10
Concat std::string and number by std to std::string_stddev                                                          5.39 ns         5.46 ns           10
Concat std::string and number by std to std::string_cv                                                              1.72 %          1.74 %            10
Concat std::string and number by StrExpr to std::string_mean                                                         210 ns          210 ns           10
Concat std::string and number by StrExpr to std::string_median                                                       210 ns          211 ns           10
Concat std::string and number by StrExpr to std::string_stddev                                                      4.25 ns         3.73 ns           10
Concat std::string and number by StrExpr to std::string_cv                                                          2.03 %          1.78 %            10
Concat stringa and number by StrExpr to simstr::stringa_mean                                                         109 ns          109 ns           10
Concat stringa and number by StrExpr to simstr::stringa_median                                                       108 ns          109 ns           10
Concat stringa and number by StrExpr to simstr::stringa_stddev                                                      2.68 ns         2.08 ns           10
Concat stringa and number by StrExpr to simstr::stringa_cv                                                          2.46 %          1.92 %            10
Concat stringa and number by e_concat to simstr::stringa_mean                                                        123 ns          123 ns           10
Concat stringa and number by e_concat to simstr::stringa_median                                                      124 ns          123 ns           10
Concat stringa and number by e_concat to simstr::stringa_stddev                                                     5.34 ns         4.99 ns           10
Concat stringa and number by e_concat to simstr::stringa_cv                                                         4.33 %          4.07 %            10
-----  Concatenate string + Hex Number + "Literal" ---------/repeats:1                                             0.000 ns        0.000 ns   1000000000000
Concat std::string and format hex number and literal to std::string_mean                                            1029 ns         1027 ns           10
Concat std::string and format hex number and literal to std::string_median                                          1024 ns         1025 ns           10
Concat std::string and format hex number and literal to std::string_stddev                                          32.6 ns         33.4 ns           10
Concat std::string and format hex number and literal to std::string_cv                                              3.17 %          3.25 %            10
std::format std::string and hex number by literal to std::string_mean                                               1862 ns         1845 ns           10
std::format std::string and hex number by literal to std::string_median                                             1854 ns         1842 ns           10
std::format std::string and hex number by literal to std::string_stddev                                             32.3 ns         45.9 ns           10
std::format std::string and hex number by literal to std::string_cv                                                 1.74 %          2.49 %            10
Concat std::string and std::tochars and string to std::string_mean                                                   256 ns          255 ns           10
Concat std::string and std::tochars and string to std::string_median                                                 254 ns          251 ns           10
Concat std::string and std::tochars and string to std::string_stddev                                                10.0 ns         11.8 ns           10
Concat std::string and std::tochars and string to std::string_cv                                                    3.91 %          4.65 %            10
Concat std::string and hex number and literal by StrExpr to std::string_mean                                         133 ns          133 ns           10
