Benchmarks of simstr, version 1.6.7
Sources: https://github.com/orefkov/simstr
Results: https://orefkov.github.io/simstr/results.html
Run on (32 X 2513.96 MHz CPU s)
Chrome/143.0.0.0 webasm
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
--------------------------------------------------------------------------------------------------------------------------------------------------------
-----  Concatenate email ---------/repeats:1                                                                       0.000 ns        0.000 ns   1000000000000
Concat email std::format_mean                                                                                        964 ns          964 ns            4
Concat email std::format_median                                                                                      969 ns          969 ns            4
Concat email std::format_stddev                                                                                     28.0 ns         28.0 ns            4
Concat email std::format_cv                                                                                         2.90 %          2.90 %             4
Concat email std::stringstream_mean                                                                                 2458 ns         2458 ns            4
Concat email std::stringstream_median                                                                               2426 ns         2426 ns            4
Concat email std::stringstream_stddev                                                                                124 ns          124 ns            4
Concat email std::stringstream_cv                                                                                   5.04 %          5.04 %             4
Concat email stringzilla append_mean                                                                                 594 ns          594 ns            4
Concat email stringzilla append_median                                                                               593 ns          593 ns            4
Concat email stringzilla append_stddev                                                                              10.9 ns         10.9 ns            4
Concat email stringzilla append_cv                                                                                  1.83 %          1.83 %             4
Concat email stringzilla concat_mean                                                                                 213 ns          213 ns            4
Concat email stringzilla concat_median                                                                               211 ns          211 ns            4
Concat email stringzilla concat_stddev                                                                              4.00 ns         4.00 ns            4
Concat email stringzilla concat_cv                                                                                  1.88 %          1.88 %             4
Concat email std::string append_mean                                                                                 623 ns          623 ns            4
Concat email std::string append_median                                                                               628 ns          628 ns            4
Concat email std::string append_stddev                                                                              16.8 ns         16.8 ns            4
Concat email std::string append_cv                                                                                  2.69 %          2.69 %             4
Concat email std::string by strexpr_mean                                                                             158 ns          158 ns            4
Concat email std::string by strexpr_median                                                                           159 ns          159 ns            4
Concat email std::string by strexpr_stddev                                                                          6.98 ns         6.98 ns            4
Concat email std::string by strexpr_cv                                                                              4.41 %          4.41 %             4
Concat email stringa_mean                                                                                            124 ns          124 ns            4
Concat email stringa_median                                                                                          125 ns          125 ns            4
Concat email stringa_stddev                                                                                         7.25 ns         7.25 ns            4
Concat email stringa_cv                                                                                             5.86 %          5.86 %             4
-----  Concatenate string + Number + "Literal" ---------/repeats:1                                                 0.000 ns        0.000 ns   1000000000000
Concat std::string and number by std to std::string_mean                                                            1831 ns         1831 ns            4
Concat std::string and number by std to std::string_median                                                          1779 ns         1779 ns            4
Concat std::string and number by std to std::string_stddev                                                           117 ns          117 ns            4
Concat std::string and number by std to std::string_cv                                                              6.37 %          6.37 %             4
Concat std::string and number by StrExpr to std::string_mean                                                         947 ns          947 ns            4
Concat std::string and number by StrExpr to std::string_median                                                       939 ns          939 ns            4
Concat std::string and number by StrExpr to std::string_stddev                                                      33.5 ns         33.5 ns            4
Concat std::string and number by StrExpr to std::string_cv                                                          3.54 %          3.54 %             4
Concat stringa and number by StrExpr to simstr::stringa_mean                                                         354 ns          354 ns            4
Concat stringa and number by StrExpr to simstr::stringa_median                                                       354 ns          354 ns            4
Concat stringa and number by StrExpr to simstr::stringa_stddev                                                      12.3 ns         12.3 ns            4
Concat stringa and number by StrExpr to simstr::stringa_cv                                                          3.48 %          3.48 %             4
Concat stringa and number by e_concat to simstr::stringa_mean                                                        377 ns          377 ns            4
Concat stringa and number by e_concat to simstr::stringa_median                                                      381 ns          381 ns            4
Concat stringa and number by e_concat to simstr::stringa_stddev                                                     20.7 ns         20.7 ns            4
Concat stringa and number by e_concat to simstr::stringa_cv                                                         5.48 %          5.48 %             4
-----  Concatenate string + Hex Number + "Literal" ---------/repeats:1                                             0.000 ns        0.000 ns   1000000000000
Concat std::string and format hex number and literal to std::string_mean                                            3883 ns         3883 ns            4
Concat std::string and format hex number and literal to std::string_median                                          3863 ns         3863 ns            4
Concat std::string and format hex number and literal to std::string_stddev                                           153 ns          153 ns            4
Concat std::string and format hex number and literal to std::string_cv                                              3.93 %          3.93 %             4
std::format std::string and hex number by literal to std::string_mean                                               4986 ns         4986 ns            4
std::format std::string and hex number by literal to std::string_median                                             4942 ns         4942 ns            4
std::format std::string and hex number by literal to std::string_stddev                                              145 ns          145 ns            4
std::format std::string and hex number by literal to std::string_cv                                                 2.91 %          2.91 %             4
Concat std::string and std::to_chars and string to std::string_mean                                                 1124 ns         1124 ns            4
Concat std::string and std::to_chars and string to std::string_median                                               1116 ns         1116 ns            4
Concat std::string and std::to_chars and string to std::string_stddev                                               26.9 ns         26.9 ns            4
Concat std::string and std::to_chars and string to std::string_cv                                                   2.39 %          2.39 %             4
Concat std::string and hex number and literal by StrExpr to std::string_mean                                         873 ns          873 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_median                                       873 ns          873 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_stddev                                      16.1 ns         16.1 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_cv                                          1.84 %          1.84 %             4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_mean                                         257 ns          257 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_median                                       256 ns          256 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_stddev                                      17.0 ns         17.0 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_cv                                          6.64 %          6.64 %             4
Concat stringa and hex number and literal by e_concat to simstr::stringa_mean                                        269 ns          269 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_median                                      261 ns          261 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_stddev                                     16.9 ns         16.9 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_cv                                         6.28 %          6.28 %             4
Subst stringa and hex number by e_subst literal to simstr::stringa_mean                                              541 ns          541 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_median                                            542 ns          542 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_stddev                                           19.0 ns         19.0 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_cv                                               3.52 %          3.52 %             4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_mean                                               1765 ns         1765 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_median                                             1752 ns         1752 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_stddev                                             42.3 ns         42.3 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_cv                                                 2.39 %          2.40 %             4
---- format/vformat and subst/vsubst octal number to 32 symbols result ----/repeats:1                              0.000 ns        0.000 ns   1000000000000
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_mean                                                              843 ns          843 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_median                                                            838 ns          838 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_stddev                                                           30.8 ns         30.8 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_cv                                                               3.66 %          3.66 %             4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_mean                                                           1112 ns         1112 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_median                                                         1109 ns         1109 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_stddev                                                         29.0 ns         29.0 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_cv                                                             2.61 %          2.61 %             4
e_vsubst(pattern, i / 0x8a010_fmt)_mean                                                                             2885 ns         2885 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_median                                                                           2907 ns         2907 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_stddev                                                                           68.1 ns         68.1 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_cv                                                                               2.36 %          2.36 %             4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_mean                                                  4562 ns         4562 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_median                                                4601 ns         4601 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_stddev                                                 149 ns          149 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_cv                                                    3.28 %          3.28 %             4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_mean                                                               4550 ns         4550 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_median                                                             4516 ns         4516 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_stddev                                                             88.7 ns         88.7 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_cv                                                                 1.95 %          1.95 %             4
std::format("abcdefghihklmopqr {:#010o} end", i)_mean                                                               5661 ns         5661 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_median                                                             5668 ns         5668 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_stddev                                                             99.7 ns         99.7 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_cv                                                                 1.76 %          1.76 %             4
std::vformat(pattern, std::make_format_args(i))_mean                                                                5730 ns         5730 ns            4
std::vformat(pattern, std::make_format_args(i))_median                                                              5771 ns         5771 ns            4
std::vformat(pattern, std::make_format_args(i))_stddev                                                               197 ns          197 ns            4
std::vformat(pattern, std::make_format_args(i))_cv                                                                  3.44 %          3.44 %             4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_mean                 19623 ns        19623 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_median               19520 ns        19520 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_stddev                 833 ns          833 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_cv                    4.25 %          4.25 %             4
-----  Concatenate string + "Literal" ---------/repeats:1                                                          0.000 ns        0.000 ns   1000000000000
Concat std::string by std to std::string_mean                                                                        143 ns          143 ns            4
Concat std::string by std to std::string_median                                                                      143 ns          143 ns            4
Concat std::string by std to std::string_stddev                                                                     5.16 ns         5.16 ns            4
Concat std::string by std to std::string_cv                                                                         3.61 %          3.61 %             4
Concat std::string by StrExpr to std::string_mean                                                                    168 ns          168 ns            4
Concat std::string by StrExpr to std::string_median                                                                  167 ns          167 ns            4
Concat std::string by StrExpr to std::string_stddev                                                                 2.82 ns         2.82 ns            4
Concat std::string by StrExpr to std::string_cv                                                                     1.68 %          1.68 %             4
