Benchmarks of simstr, version 1.6.4
Sources: https://github.com/orefkov/simstr
Results: https://orefkov.github.io/simstr/results.html

Run on (32 X 2513.96 MHz CPU s)
Firefox: 146.0.1.60 webasm
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
--------------------------------------------------------------------------------------------------------------------------------------------------------
-----  Concatenate string + Number + "Literal" ---------/repeats:1                                                 0.000 ns        0.000 ns   1000000000000
Concat std::string and number by std to std::string_mean                                                             891 ns          891 ns            4
Concat std::string and number by std to std::string_median                                                           878 ns          878 ns            4
Concat std::string and number by std to std::string_stddev                                                          66.3 ns         66.3 ns            4
Concat std::string and number by std to std::string_cv                                                              7.44 %          7.44 %             4
Concat std::string and number by StrExpr to std::string_mean                                                         402 ns          402 ns            4
Concat std::string and number by StrExpr to std::string_median                                                       393 ns          393 ns            4
Concat std::string and number by StrExpr to std::string_stddev                                                      19.0 ns         19.0 ns            4
Concat std::string and number by StrExpr to std::string_cv                                                          4.73 %          4.73 %             4
Concat stringa and number by StrExpr to simstr::stringa_mean                                                         230 ns          230 ns            4
Concat stringa and number by StrExpr to simstr::stringa_median                                                       232 ns          232 ns            4
Concat stringa and number by StrExpr to simstr::stringa_stddev                                                      19.5 ns         19.5 ns            4
Concat stringa and number by StrExpr to simstr::stringa_cv                                                          8.50 %          8.50 %             4
Concat stringa and number by e_concat to simstr::stringa_mean                                                        196 ns          196 ns            4
Concat stringa and number by e_concat to simstr::stringa_median                                                      196 ns          196 ns            4
Concat stringa and number by e_concat to simstr::stringa_stddev                                                     5.39 ns         5.39 ns            4
Concat stringa and number by e_concat to simstr::stringa_cv                                                         2.75 %          2.75 %             4
-----  Concatenate string + Hex Number + "Literal" ---------/repeats:1                                             0.000 ns        0.000 ns   1000000000000
Concat std::string and format hex number and literal to std::string_mean                                            1301 ns         1301 ns            4
Concat std::string and format hex number and literal to std::string_median                                          1297 ns         1297 ns            4
Concat std::string and format hex number and literal to std::string_stddev                                          34.9 ns         34.9 ns            4
Concat std::string and format hex number and literal to std::string_cv                                              2.68 %          2.68 %             4
std::format std::string and hex number by literal to std::string_mean                                               1590 ns         1590 ns            4
std::format std::string and hex number by literal to std::string_median                                             1587 ns         1587 ns            4
std::format std::string and hex number by literal to std::string_stddev                                             34.8 ns         34.8 ns            4
std::format std::string and hex number by literal to std::string_cv                                                 2.19 %          2.19 %             4
Concat std::string and std::to_chars and string to std::string_mean                                                  611 ns          611 ns            4
Concat std::string and std::to_chars and string to std::string_median                                                604 ns          605 ns            4
Concat std::string and std::to_chars and string to std::string_stddev                                               14.9 ns         14.8 ns            4
Concat std::string and std::to_chars and string to std::string_cv                                                   2.44 %          2.42 %             4
Concat std::string and hex number and literal by StrExpr to std::string_mean                                         419 ns          419 ns            4
