Benchmarks of simstr, version 1.8.1
Sources: https://github.com/orefkov/simstr
Results: https://orefkov.github.io/simstr/results.html
Compiler MSVC 19.44.35213.0
2026-03-22T13:57:22+03:00
Running benchStr.exe
Run on (32 X 2494 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
--------------------------------------------------------------------------------------------------------------------------------------------------------
-----  Concatenate email ---------/repeats:1                                                                       0.000 ns        0.000 ns   1000000000000
Concat email std::format_mean                                                                                        256 ns          255 ns            4
Concat email std::format_median                                                                                      256 ns          257 ns            4
Concat email std::format_stddev                                                                                     5.69 ns         2.79 ns            4
Concat email std::format_cv                                                                                         2.22 %          1.09 %             4
Concat email std::stringstream_mean                                                                                  940 ns          942 ns            4
Concat email std::stringstream_median                                                                                934 ns          942 ns            4
Concat email std::stringstream_stddev                                                                               17.4 ns         14.2 ns            4
Concat email std::stringstream_cv                                                                                   1.85 %          1.51 %             4
Concat email stringzilla append_mean                                                                                 287 ns          286 ns            4
Concat email stringzilla append_median                                                                               286 ns          289 ns            4
Concat email stringzilla append_stddev                                                                              22.9 ns         21.4 ns            4
Concat email stringzilla append_cv                                                                                  7.97 %          7.51 %             4
Concat email stringzilla concat_mean                                                                                 134 ns          135 ns            4
Concat email stringzilla concat_median                                                                               134 ns          135 ns            4
Concat email stringzilla concat_stddev                                                                              5.29 ns         5.75 ns            4
Concat email stringzilla concat_cv                                                                                  3.94 %          4.27 %             4
Concat email std::string append_mean                                                                                 200 ns          201 ns            4
Concat email std::string append_median                                                                               201 ns          202 ns            4
Concat email std::string append_stddev                                                                              4.82 ns         4.34 ns            4
Concat email std::string append_cv                                                                                  2.41 %          2.16 %             4
Concat email std::string by strexpr_mean                                                                             113 ns          114 ns            4
Concat email std::string by strexpr_median                                                                           114 ns          114 ns            4
Concat email std::string by strexpr_stddev                                                                          3.52 ns         3.57 ns            4
Concat email std::string by strexpr_cv                                                                              3.10 %          3.15 %             4
Concat email stringa_mean                                                                                            106 ns          106 ns            4
Concat email stringa_median                                                                                          102 ns          103 ns            4
Concat email stringa_stddev                                                                                         8.27 ns         6.28 ns            4
Concat email stringa_cv                                                                                             7.77 %          5.94 %             4
-----  Concatenate string + Number + "Literal" ---------/repeats:1                                                 0.000 ns        0.000 ns   1000000000000
Concat std::string and number by std to std::string_mean                                                             333 ns          333 ns            4
Concat std::string and number by std to std::string_median                                                           333 ns          333 ns            4
Concat std::string and number by std to std::string_stddev                                                          3.36 ns         4.23 ns            4
Concat std::string and number by std to std::string_cv                                                              1.01 %          1.27 %             4
Concat std::string and number by StrExpr to std::string_mean                                                         219 ns          217 ns            4
Concat std::string and number by StrExpr to std::string_median                                                       220 ns          213 ns            4
Concat std::string and number by StrExpr to std::string_stddev                                                      3.90 ns         6.80 ns            4
Concat std::string and number by StrExpr to std::string_cv                                                          1.78 %          3.14 %             4
Concat stringa and number by StrExpr to simstr::stringa_mean                                                         109 ns          109 ns            4
Concat stringa and number by StrExpr to simstr::stringa_median                                                       109 ns          109 ns            4
Concat stringa and number by StrExpr to simstr::stringa_stddev                                                      2.59 ns         2.34 ns            4
Concat stringa and number by StrExpr to simstr::stringa_cv                                                          2.37 %          2.14 %             4
Concat stringa and number by e_concat to simstr::stringa_mean                                                        121 ns          121 ns            4
Concat stringa and number by e_concat to simstr::stringa_median                                                      122 ns          121 ns            4
Concat stringa and number by e_concat to simstr::stringa_stddev                                                     1.61 ns         2.34 ns            4
Concat stringa and number by e_concat to simstr::stringa_cv                                                         1.33 %          1.92 %             4
-----  Concatenate string + Hex Number + "Literal" ---------/repeats:1                                             0.000 ns        0.000 ns   1000000000000
Concat std::string and format hex number and literal to std::string_mean                                            1030 ns         1031 ns            4
Concat std::string and format hex number and literal to std::string_median                                          1029 ns         1025 ns            4
Concat std::string and format hex number and literal to std::string_stddev                                          9.52 ns         10.5 ns            4
Concat std::string and format hex number and literal to std::string_cv                                              0.92 %          1.02 %             4
std::format std::string and hex number by literal to std::string_mean                                               1872 ns         1862 ns            4
std::format std::string and hex number by literal to std::string_median                                             1870 ns         1862 ns            4
std::format std::string and hex number by literal to std::string_stddev                                             44.1 ns         54.0 ns            4
std::format std::string and hex number by literal to std::string_cv                                                 2.35 %          2.90 %             4
Concat std::string and std::to_chars and string to std::string_mean                                                  252 ns          253 ns            4
Concat std::string and std::to_chars and string to std::string_median                                                252 ns          251 ns            4
Concat std::string and std::to_chars and string to std::string_stddev                                               2.77 ns         2.79 ns            4
Concat std::string and std::to_chars and string to std::string_cv                                                   1.10 %          1.10 %             4
Concat std::string and hex number and literal by StrExpr to std::string_mean                                         115 ns          115 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_median                                       115 ns          116 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_stddev                                      3.10 ns         3.45 ns            4
Concat std::string and hex number and literal by StrExpr to std::string_cv                                          2.71 %          3.01 %             4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_mean                                         101 ns          101 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_median                                       102 ns          103 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_stddev                                      2.17 ns         2.09 ns            4
Concat stringa and hex number and literal by StrExpr to simstr::stringa_cv                                          2.14 %          2.06 %             4
Concat stringa and hex number and literal by e_concat to simstr::stringa_mean                                        108 ns          107 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_median                                      108 ns          107 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_stddev                                     1.81 ns         1.99 ns            4
Concat stringa and hex number and literal by e_concat to simstr::stringa_cv                                         1.68 %          1.86 %             4
Subst stringa and hex number by e_subst literal to simstr::stringa_mean                                              173 ns          172 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_median                                            171 ns          171 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_stddev                                           4.43 ns         2.44 ns            4
Subst stringa and hex number by e_subst literal to simstr::stringa_cv                                               2.57 %          1.42 %             4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_mean                                                361 ns          361 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_median                                              362 ns          361 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_stddev                                             5.97 ns         6.55 ns            4
Subst stringa and hex number by e_vsubst stra to simstr::stringa_cv                                                 1.66 %          1.81 %             4
---- format/vformat and subst/vsubst octal number to 32 symbols result ----/repeats:1                              0.000 ns        0.000 ns   1000000000000
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_mean                                                              702 ns          702 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_median                                                            704 ns          706 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_stddev                                                           15.7 ns         16.7 ns            4
"abcdefghihklmopqr "_ss + i / 0x8a010_fmt + " end"_cv                                                               2.23 %          2.38 %             4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_mean                                                            810 ns          802 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_median                                                          808 ns          802 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_stddev                                                         12.5 ns         14.2 ns            4
e_subst("abcdefghihklmopqr {} end", i / 0x8a010_fmt)_cv                                                             1.55 %          1.77 %             4
e_vsubst(pattern, i / 0x8a010_fmt)_mean                                                                             1144 ns         1144 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_median                                                                           1148 ns         1144 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_stddev                                                                           12.7 ns         22.8 ns            4
e_vsubst(pattern, i / 0x8a010_fmt)_cv                                                                               1.11 %          1.99 %             4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_mean                                                  1583 ns         1569 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_median                                                1577 ns         1569 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_stddev                                                19.1 ns         28.5 ns            4
fmt::format(FMT_COMPILE("abcdefghihklmopqr {:#010o} end"), i)_cv                                                    1.21 %          1.81 %             4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_mean                                                               1596 ns         1587 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_median                                                             1597 ns         1587 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_stddev                                                             35.4 ns         45.0 ns            4
fmt::format("abcdefghihklmopqr {:#010o} end", i)_cv                                                                 2.22 %          2.84 %             4
std::format("abcdefghihklmopqr {:#010o} end", i)_mean                                                               1946 ns         1916 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_median                                                             1941 ns         1904 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_stddev                                                             30.6 ns         22.7 ns            4
std::format("abcdefghihklmopqr {:#010o} end", i)_cv                                                                 1.57 %          1.18 %             4
std::vformat(pattern, std::make_format_args(i))_mean                                                                1990 ns         1978 ns            4
std::vformat(pattern, std::make_format_args(i))_median                                                              1972 ns         1967 ns            4
std::vformat(pattern, std::make_format_args(i))_stddev                                                              63.3 ns         62.8 ns            4
std::vformat(pattern, std::make_format_args(i))_cv                                                                  3.18 %          3.17 %             4
std::format with std::formatted_size_mean                                                                           2922 ns         2932 ns            4
std::format with std::formatted_size_median                                                                         2925 ns         2916 ns            4
std::format with std::formatted_size_stddev                                                                         31.5 ns         33.1 ns            4
std::format with std::formatted_size_cv                                                                             1.08 %          1.13 %             4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_mean                  7026 ns         6975 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_median                7003 ns         6975 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_stddev                 173 ns          142 ns            4
strm << "abcdefghihklmopqr 0" << std::oct << std::setw(9) << std::setfill('0') << i << " end"_cv                    2.46 %          2.04 %             4
-----  Concatenate string + "Literal" ---------/repeats:1                                                          0.000 ns        0.000 ns   1000000000000
Concat std::string by std to std::string_mean                                                                       55.5 ns         55.2 ns            4
